content,score
"Untuk ukuran toner/FTE, produk ini patut diacungi jempol, terutama klaim meredakan jerawatnya. Jerawatku berkurang nyerinya setelah dikompres dengan toner ini, walau memang tidak menghilangkan, tapi cukup membantu. Ukurannya juga travel friendly, dan kemasannya lucuk banget",5
"Wow impression aku pas pakai produk Npure toner ini kayak ga expect. Aku pakai toner ini ketika kulitku lagi breakout, beruntusan di sekitar mulut. tapi pas aku pakai beneran beruntusannya menghilang sedikit-sedikit. aku pakai sehari 3-4x, tapi efeknya bikin beruntusannya kering dan akhirnya cepet ilang deh. works banget di muka aku🥹",5
"Jadi aq beli toner ini krn muka aku lagi bruntusan jadinya agak kasar dan merah, pas lihat Npure Toner lgsg tertarik krn ada kandungan centella asiaticanya. Dan bener aja pas nyoba tonernya enak bgt, ringan, cepat menyerap, bruntusan perlahan berkurang, wajahpun jd ga kemerahan, toopp. i had many litle freckles on mc face in 1 week ago, i think its normal bcs after that i got my normal skin again and i think for 1 month my face more bright",5
"baru pertama kali pakai grgr kemakan iklan, tapi ternyata lumayan cocok ya say untuk kulitku yang berjerawat dan berminyak. kalau lagi ada jerawat kadang ku buat masker, adem banget. lumayan untuk beruntusan dan mengempiskan jerawat. bintang lima deh pokoknya",5
"best purchase cica toner yg ada daun cica asli didalamnya. sering bgt diskon di e-commerce untuk harga 100rb 100ml ini worth it bgt loh. teksturnya of course ini watery, light, aroma khas cicanya tuh seger. cocok bgt buat acne prone skin dan enak kalo dibuat csm an",5
"Kandungan Centella Asiatica-nya membantu meredakan peradangan di kulit saya, membuatnya terasa lebih tenang dan kurang kemerahan. Teksturnya ringan dan tidak mengandung alkohol, jadi tidak membuat kulit saya kering atau terasa ketat setelah penggunaan. Selain itu, toner ini juga membantu menghidrasi kulit saya dengan baik, membuatnya tampak lebih segar dan bersinar. Saya juga menyukai aroma alami yang ditinggalkan setelah aplikasi. Secara keseluruhan, saya sangat merekomendasikan toner Centella Asiatica ini kepada siapa pun yang mencari produk yang menenangkan dan melembapkan untuk kulit sensitif atau berjerawat.&#34;",5
"aku sebelum nya ga pernah pakai toner dan bingung mau pake toner apa karena wajah ku saat itu lagi banyak kemerahan dan ada bintik2 hitam di wajah, akhirnya temen ku ngasih recommend untuk pakai toner npure karena itu best seller toner. setelah aku coba emang terbukti bagus dan lama2 hilang kemerahan yg ada di wajah ku. soo thank youu npure",5
"Npure cica toner cocok banget buat yg kulitnya berminyak, gampang bruntusan ataupun jerawatan..suka banget pake buat CSM-an! seger banget di kulit buat sehari hari aku pake ini bruntusan jadi lebih cepet kempes trus sebum di wajah jg lebih terkontrol",5
"Produk ini mampu meredakan jerawat saya, membuat kulit saya yang kemerahan perlahan memudar, harganya juga ramah di kantong, awet saat di pakai, tidak memiliki efek samping pada wajah saya, membuat saya lebih percaya diri saat keluar rumah.",5
"baru pake ini pertama kali, karna kulit sensitif jadi aku coba pake toner ini dan bagus, cuma ga bisa aku pake di area mata keatas karna meskipun ga kena kelopak mata, pasti kelopak mata ku kering kalo pake toner ini, but bosa diakali pakenya cuma dari bawah mata ke bawah atau area pipi",5
"Teksturnya light tidak begitu kental. Untuk kulit kering disarankan dipakai berlayer agar terasa melembabkan. Namun untuk yang tidak terlalu suka toner berat-berat, 1 layer sudah cukup. Efeknya bikin calming redness di wajah. Muka jadi lebih halus",5
"toner ini paling nampol saat dahi aku ada bruntusan, dulu sering banget bruntusan tapi sejak pakai ini udah gaada lagi yg namanya bruntusan. Ada extract centella asiaticanya beneran di dalam botolnya juga. kalian wajib coba ini kalau lagi banyak masalah kulit",5
"Toner Npure inu kebanggaan banget apalagi buat kulitku yang rewel dan sering berjewarat, buat wanginya juga gak ganggu dan bikin kulit perih. Hasilnya juga terbaik dengan pemakaian yang rutin dan bisa dibuat masker juga, terima kasih N Pure",5
Produk kesukaan aku dari dulu suka bangetttt.. cucok dimuka aku dan produk andalan aku.. semoga selalu ad dan makin banyak diskon lagi kedepannya untuk Npure...Produk kesukaan aku dari dulu suka bangetttt.. cucok dimuka aku..........,5
"produk kesukaan aku banget. udah pake ini di botol ke 4. suka banget karena cocok buat kulit aku yang acne prone. bisa ngilangin bruntusan, bisa di pake buat kompress kulit juga untuk ngecalm down. selalu aku rekomendasiin ke temen temen aku.",5
"toner nya npure gapernahh sekalipunn gagal plisss bagus bgt buat jeniss kulit sensitif berjerawatt kayak akuuu ,, cobainn dehh skrg pacakingnya juga baruu dan nyaman bgtt.. rekomend in produk ini buat acne atau sensitif skinn buruann pakee yaa",5
"ini toner kesukaan banget, teksturnya cair dan mudah meresap di kulit, gampang diaplikasiin, cukup ngelemba in kulit, gaada bau yang menyegat, dan ngeredain bruntusan di aku, best toner buat ngelembab in setelah exfoilasi, selalu repurchase karena seenak itu",5
