Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,topic_label,sentimen
0,1,0.5579,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['ukur', 'tonerfte', 'produk', 'patut', 'acung', 'jempol', 'utama', 'klaim', 'reda', 'jerawat', 'jerawat', 'kurang', 'nyeri', 'kompres', 'toner', 'memang', 'hilang', 'cukup', 'bantu', 'ukur', 'travel', 'friendly', 'kemas', 'lucuk', 'banget']",Kualitas Produk,negative
1,0,0.9759,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['wow', 'impression', 'pas', 'pakai', 'produk', 'npure', 'toner', 'expect', 'pakai', 'toner', 'kulit', 'breakout', 'beruntus', 'mulut', 'pas', 'pakai', 'beneran', 'beruntus', 'hilang', 'sedikitsedikit', 'pakai', 'hari', 'sangat', 'efek', 'bikin', 'beruntus', 'kering', 'akhir', 'cepet', 'ilang', 'deh', 'works', 'banget', 'muka']",Penggunaan Produk,positive
2,2,0.9871,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['jadi', 'beli', 'toner', 'muka', 'bruntusan', 'jadi', 'kasar', 'merah', 'pas', 'lihat', 'npure', 'toner', 'lgsg', 'tarik', 'kandung', 'centella', 'asiaticanya', 'benar', 'pas', 'nyoba', 'tonernya', 'enak', 'banget', 'ringan', 'cepat', 'serap', 'bruntusan', 'perlahan', 'kurang', 'wajah', 'jadi', 'merah', 'toopp', 'i', 'had', 'many', 'litle', 'freckles', 'on', 'mc', 'face', 'in', 'week', 'ago', 'i', 'think', 'its', 'normal', 'bcs', 'after', 'that', 'i', 'got', 'my', 'normal', 'skin', 'again', 'and', 'i', 'think', 'for', 'month', 'my', 'face', 'more', 'bright']",Pembelian Produk,positive
3,1,0.9722,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['baru', 'pertama', 'kali', 'pakai', 'grgr', 'makan', 'iklan', 'nyata', 'lumayan', 'cocok', 'kulit', 'jerawat', 'minyak', 'kalau', 'jerawat', 'kadang', 'ku', 'buat', 'masker', 'adem', 'banget', 'lumayan', 'beruntus', 'kempis', 'jerawat', 'bintang', 'lima', 'deh', 'pokok']",Kualitas Produk,negative
4,0,0.9791,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['best', 'purchase', 'cica', 'toner', 'daun', 'cica', 'asli', 'dalam', 'sering', 'banget', 'diskon', 'ecommerce', 'harga', 'rb', 'ml', 'worth', 'it', 'banget', 'loh', 'tekstur', 'of', 'course', 'watery', 'light', 'aroma', 'khas', 'cicanya', 'tuh', 'seger', 'cocok', 'banget', 'buat', 'acne', 'prone', 'skin', 'enak', 'kalau', 'buat', 'csm', 'an']",Penggunaan Produk,positive
5,1,0.9844,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['kandung', 'centella', 'asiaticanya', 'bantu', 'reda', 'adang', 'kulit', 'buat', 'asa', 'lebih', 'tenang', 'kurang', 'merah', 'tekstur', 'ringan', 'kandung', 'alkohol', 'jadi', 'buat', 'kulit', 'kering', 'asa', 'ketat', 'guna', 'toner', 'bantu', 'hidrasi', 'kulit', 'baik', 'buat', 'tampak', 'lebih', 'segar', 'sinar', 'suka', 'aroma', 'alami', 'tinggal', 'aplikasi', 'seluruh', 'sangat', 'rekomendasi', 'toner', 'centella', 'asiatica', 'siapa', 'cari', 'produk', 'tenang', 'lembap', 'kulit', 'sensitif', 'jerawat']",Kualitas Produk,negative
6,0,0.9793,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['nya', 'pernah', 'pakai', 'toner', 'bingung', 'mau', 'pakai', 'toner', 'apa', 'wajah', 'ku', 'banyak', 'merah', 'bintik', 'hitam', 'wajah', 'akhir', 'temen', 'ku', 'ngasih', 'recommend', 'pakai', 'toner', 'npure', 'best', 'seller', 'toner', 'coba', 'emang', 'bukti', 'bagus', 'lama', 'hilang', 'merah', 'wajah', 'ku', 'soo', 'thank', 'youu', 'npure']",Penggunaan Produk,negative
7,1,0.6824,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['npure', 'cica', 'toner', 'cocok', 'banget', 'buat', 'kulit', 'minyak', 'gampang', 'bruntusan', 'atau', 'jerawatansuka', 'banget', 'pakai', 'buat', 'csman', 'seger', 'banget', 'kulit', 'buat', 'hari', 'hari', 'pakai', 'bruntusan', 'jadi', 'lebih', 'cepet', 'kempes', 'terus', 'sebum', 'wajah', 'jg', 'lebih', 'kontrol']",Kualitas Produk,positive
8,1,0.5576,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['produk', 'mampu', 'reda', 'jerawat', 'buat', 'kulit', 'merah', 'perlahan', 'pudar', 'harga', 'ramah', 'kantong', 'awet', 'pakai', 'milik', 'efek', 'samping', 'wajah', 'buat', 'lebih', 'percaya', 'diri', 'keluar', 'rumah']",Kualitas Produk,positive
9,0,0.9772,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['baru', 'pakai', 'pertama', 'kali', 'kulit', 'sensitif', 'jadi', 'coba', 'pakai', 'toner', 'bagus', 'cuma', 'pakai', 'area', 'mata', 'atas', 'meski', 'kena', 'kelopak', 'mata', 'kelopak', 'mata', 'ku', 'kering', 'kalau', 'pakai', 'toner', 'but', 'bosa', 'akal', 'pakenya', 'cuma', 'bawah', 'mata', 'bawah', 'area', 'pipi']",Penggunaan Produk,negative
