Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,topic_label,sentimen
0,0,0.6599,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",mungkin viral kata kemarin nyobain ph sih bau perih melembabkan bagus alkohol kadang lumayan kali pertama tonernya kulit pas banget toner jerawat,Penggunaan Produk,0
1,0,0.9685,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",stop ajaa purging gacocok sii dalem bahan takut parah bukan kaya dipake tambah malah makin gaada terus lama bagus emang coba apa cari pertama jadi deh bikin beruntus banget produk,Penggunaan Produk,0
2,2,0.9666,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",batu stop tempat jalan minggu timbul putus make kaya tpi sedang awal sama mendem sih keluar terus nya lebih lumayan merah akhir pas kurang jerawat,Pembelian Produk,0
3,2,0.6936,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",sold paket wa preloved gatel minggu berat rasa bahan padahal parah gin kondisi out awal kecil biasa lokal tumbuh gede sekarang cuma lama bagus minyak baru jadi pakai banget kurang jerawat,Pembelian Produk,0
4,1,0.4355,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",ig di ering kuat salicylic pori jauh hijau bening up reviewnya very cantik next calm orang is this awal sedikit mungkin acid hydrating beberapa sih dahi halus redness emang lebih seger aroma dalam asli daun cica buat kalau my centella bruntusan jadi deh efek npure pakai impression cukup toner kompres,Kualitas Produk,0
5,0,0.6072,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",claimnya apaapa bagaimana ajaa ngefek yah anak sebenernya bagusbagus benerbener malah sekali kata sama temenku yaa melembabkan but bagus it buat and skin normal kulit toner jerawat,Penggunaan Produk,0
6,1,0.9638,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",turut sayang pilih recomended dipake nenangin sama cair wangi kalian paling calming atau csm acne tekstur buat enak benar works toner jerawat,Kualitas Produk,0
7,0,0.5888,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",ada tempat tidak telah so huhu serum biasa tumbuh lengket beberapa cobain gede masalah lama bagus lumayan nyata kali pertama wajah muka bikin kulit pakai memang toner kurang jerawat,Penggunaan Produk,0
8,2,0.3914,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",bagaimana sedih rasa make bekas entah padahal kaya muncul awal daily review waktu sama mendem sih resap cair sekarang terus gampang bagus emang banyak mau nya prone acne tekstur kalau cocok skin jadi akhir pakai pas jerawat,Pembelian Produk,0
9,1,0.751,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",minus segi turut hempas si packaging lucu tambah sama jujur habis halus nya lembap suka dalam asli daun buat ku wajah centella bruntusan jadi cepet bikin efek kulit npure banget cukup toner produk,Kualitas Produk,1
10,1,0.5344,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",step make kan lebay lembabnya ikut serum hydrating lembab size redness calming terlalu terus mau suka buat kalau cocok nyoba beli deh kulit pas banget kemas travel toner,Kualitas Produk,0
11,0,0.4859,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",centela baguss murah dalem make gituu langsung buy to iritasi super metode paling suka tenang csm worth ml harga buat jadi beneran kulit banget ukur,Penggunaan Produk,1
12,0,0.9315,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",pakek rasain skincare waktu ngeredain redness lama cocok muka produk,Penggunaan Produk,1
13,1,0.5035,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",nyerepnya ingredients dikit really salicylic calmingnya nyerep kesan tu unik ngerasain lembabnya so punya to acid affordable lengket oke ngurangin try sih cair ganggu wangi masalah lama bagus ngasih asa watery tekstur worth harga dalam daun cica buat kalau lumayan my wajah centella cepet beneran pas banget toner kurang jerawat,Kualitas Produk,0
14,2,0.586,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",big ngefek untung bandel bekas malah sih makin apa hidrasi tenang lebih buat cocok merah beli jadi kering bikin kulit banget jerawat,Pembelian Produk,0
15,2,0.9489,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",essence pms sensi sayang sama yaa rewel calming kalau and beli jadi works kulit pakai pas banget toner produk,Pembelian Produk,1
16,2,0.9564,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",garagara apaapa orangorang sempet padahal satu ngaruh ngeredain makin bagus cari harga buat cocok merah jadi muka breakout banget toner jerawat,Pembelian Produk,1
17,2,0.5516,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",si punya sumpah sih cobain kalian redness calming terus sensitif asiatica prone acne buat tonernya centella jadi deh bikin kulit npure pakai banget toner jerawat produk,Pembelian Produk,1
18,2,0.3919,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",stop orangorang minggu isi kemudian awal review mungkin sama affordable beberapa besar coba banyak harga lumayan kali pertama tarik bruntusan beli jadi efek sangat kulit pakai toner jerawat,Pembelian Produk,1
19,0,0.7773,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",paket kira dry beda iya engga ragu jangan jugaa dua rasa facial jarang orang pergi ampuh soal muncul to satu bakal sama bulan sih tipe yaa kalian dahi pipi area cuma terus coba banyak lebih buat cocok lumayan nyata normal wajah beli jadi deh beruntus kulit pakai toner jerawat,Penggunaan Produk,0
20,1,0.5417,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",sedang tumbuh lama segar hidrasi tenang asa aroma tekstur buat tonernya merah hari kulit npure pakai bantu toner jerawat produk,Kualitas Produk,1
21,1,0.4906,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",parfum niacinamide minggu timbul tumpah komedo betul tutup berapa packaging kok soal nenangin kecil bakal mungkin sama lembab aman sih bau cair makin botol dulu area cuma banyak nya lebih an tekstur dalam daun cocok enak centella bruntusan muka akhir efek kulit npure pakai banget jerawat,Kualitas Produk,0
22,1,0.5074,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",perlu dgn turut ngerasa langsung waktu nyobain lembab cair wangi terlalu lama lebih tekstur cica buat pertama baru benar jadi muka cepet bikin banget toner,Kualitas Produk,0
23,2,0.6433,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",bagusss kaya berapa tahu awal habis botol calming cuma terus suka asli daun kalau wajah centella tarik beli jadi bikin beneran breakout kulit pakai banget jerawat,Pembelian Produk,1
24,1,0.6507,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",hormonal samar belum dalem bekas far so jangkau packaging muncul product hehe sama lokal wangi botol melembabkan coba pernah nya asiatica alami tenang lebih seger harga daun kalau cocok its centella kandung akhir kulit npure banget bantu cukup toner jerawat,Kualitas Produk,1
25,0,0.8971,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",for and skin my that after normal its think in face on wajah perlahan serap cepat ringan enak tonernya nyoba benar asiaticanya centella kandung tarik lgsg lihat merah bruntusan beli jadi muka npure pas banget toner kurang,Penggunaan Produk,1
26,0,0.6992,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",yah jidat jarang padahal lanjut sampe eh dari sih nya tekstur masker buat cocok kali pertama ringan jadi deh efek beneran breakout pakai banget,Penggunaan Produk,1
27,0,0.6444,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",kenyal malam pagi botol bagus nya guna lebih dalam daun buat wajah muka hari kulit npure kurang jerawat reda,Penggunaan Produk,0
28,1,0.7958,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",gatel rasain dua overall lebay sayang jarang hampir simple packaging review hehe biasa bulan radang resap cair kasih botol melembabkan gampang mau seger aroma tekstur cica ku merah jadi bikin kulit npure pakai pas banget hilang toner kurang jerawat,Kualitas Produk,0
29,0,0.7375,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",hmm fragrancenya ingredientsnya minggu liat hampir skincare sampe baca malah mendem sih repurchase makin hasil banyak nyata muka deh beruntus npure pakai pas toner jerawat,Penggunaan Produk,1
30,1,0.9448,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",purging nimbulin murah punya sensitive dehh bagus emang best buat kalau cocok kulit pakai banget toner produk,Kualitas Produk,1
31,2,0.8267,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",cek gtu nih mikir campur balik parah iseng cinta sampe langsung lah review kecil first jujur radang repurchase lama bagus pernah nya baik tuh sering masker buat after beli jadi impression banget toner kompres jerawat reda,Pembelian Produk,0
32,2,0.5539,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",segala sii baguss lembabnya ngerasa kondisi dipake bangett ngebantu asa buat kalau benar merah bruntusan efek pakai kompres jerawat,Pembelian Produk,0
33,2,0.5018,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",auto segi henti ngelembapin padahal langsung sama bagus coba sensitif prone acne tekstur buat cocok kali pertama kandung bruntusan kulit npure pakai banget memang produk,Pembelian Produk,1
34,0,0.7666,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",hehe kecilkecil kecil menit tempel sembuh sukaa size ngebantu sih kapas metode repurchase area terus lama csm aroma buat beneran pakai toner jerawat,Penggunaan Produk,0
35,0,0.6799,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",bakal daya radang repurchase resap atau nya hidrasi buat cocok normal wajah ringan cepet sangat kulit banget kompres jerawat,Penggunaan Produk,0
36,2,0.5679,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",segi kombinasi jugaa baguss up make type bangett sama affordable harga buat cocok centella jadi beruntus kulit banget,Pembelian Produk,1
37,0,0.5444,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",unik fragrance jauh mirip dua ngerasa entah sama jujur wangi emang seger asli daun cica kali pertama wajah kandung lihat jadi bikin efek pakai pas kemas toner produk,Penggunaan Produk,1
38,1,0.6849,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",minggu jarang this maksimal texture muncul to product good rawat hasil lama lebih acne it buat for and skin jadi kulit pakai jerawat,Kualitas Produk,1
39,1,0.4603,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",ajaa gatau jangan mula takut sekali viral biasa sama yaa calming coba sensitif siapa pokok buat kalau cocok tonernya bikin hari kulit pakai produk,Kualitas Produk,0
40,0,0.5814,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",pokok bintang adem masker buat ku kadang kalau minyak cocok lumayan nyata makan kali pertama baru deh beruntus kulit pakai banget jerawat,Penggunaan Produk,0
41,0,0.4936,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",masuk ngerasa semua kecil bakal sama makin pure sejak suka lebih pokok minyak wajah jadi muka deh pakai hilang produk,Penggunaan Produk,1
42,1,0.9643,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",keset nimbulin review malah sedikit sama lembab ngurangin mendem cair coba nya asa tekstur nyata bruntusan beli bikin pas banget bantu jerawat klaim,Kualitas Produk,0
43,2,0.3626,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",sold preloved shopee isi bekas ganti skincare waktu dapet ngilangin calming bagus mau hidrasi beli efek pas banget jerawat,Pembelian Produk,1
44,0,0.607,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",solusi claim minggu anak ragu over alhamdulillah rasa takut reaksi si ampuh sm love satu salah awal aktif kata nyobain biasa fighter jujur cobain rewel calming kempes lama coba prone acne it best buat kalau cocok lumayan skin my benar merah jadi kulit pakai toner kompres jerawat produk,Penggunaan Produk,0
45,0,0.4926,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",wkwk oil bareng campur mantul btw rasa butuh gin oily tambah tetep lembap suka hidrasi lebih buat minyak skin face enak kulit banget ukur,Penggunaan Produk,1
46,1,0.7041,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",turut fungsi padahal kaya oily dipake hydrating paling segar hidrasi csm buat kalau lumayan skin enak merah efek kulit pakai memang toner reda,Kualitas Produk,1
47,1,0.4866,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",emg tengah alhamdulillah sedang serum biasa sensitive botol calming terus recommend banyak cari suka sering kalau kali pertama centella lgsg merah jadi muka works cepet kering kulit npure pakai bantu cukup toner kompres jerawat,Kualitas Produk,0
48,0,0.7065,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",tiap mandi like abis calm good bulan mudah redness lama lebih seger watery tekstur it and skin wajah serap enak jadi muka works npure pakai banget toner,Penggunaan Produk,1
49,2,0.5143,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",banding tuang segitu belum fragrance gede kontrol lama hidrasi watery tekstur it worth ml harga lumayan jadi kering sangat kulit pakai banget cukup jerawat ukur,Pembelian Produk,0
50,2,0.494,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",very effect soothing better well hype me is this the to but it worth cica for and skin my after think face on works toner,Pembelian Produk,1
51,1,0.9532,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",tangan alhamdulillah ngerasa komedo langsung sama radang cair botol suka baik lebih ku pakai banget memang toner kurang jerawat,Kualitas Produk,1
52,1,0.9613,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",jdi make tpi hydratingnya sedikit daya hydrating bulan sih resap halus terus kalau cepat bruntusan bikin efek kulit pas toner jerawat reda produk,Kualitas Produk,0
53,0,0.6342,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",pakek racun tiktok si sendiri awal cair dehh bagus emang banyak pernah lebih tekstur buat kalau baru ringan nyoba benar jadi bikin kulit banget jerawat,Penggunaan Produk,0
54,1,0.7194,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",ngebuat redain calm malam dipake pagi tambah awal cair sekarang makin masalah lama lebih cocok benar lihat cepet efek hari kulit pakai banget toner kurang jerawat,Kualitas Produk,0
55,1,0.4894,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",ken sebenernya isi takut si hahaha dipake out ganggu wangi awet jg lama coba loh ml diskon buat cocok nyata muka kering pakai pas cukup,Kualitas Produk,0
56,0,0.9133,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",work ken takut padahal ganti si dong oily to tambah iritasi botol pakenya awet mau lebih normal merah jadi deh kulit banget toner,Penggunaan Produk,1
57,0,0.6951,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",lanjutin kira stop purging minggu reviewnya dua liat eh satu malah bakal sama beberapa bagus coba banyak buat cocok nyata kali bruntusan jadi akhir pakai toner produk,Penggunaan Produk,1
58,0,0.7313,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",batu nah stop pegagan arti nemu kemudian berat lembabnya hati jangkau pagi muncul mungkin dapet lokal acid tranexamic bulan aman beberapa besar sih ganggu wangi rewel melembabkan emang coba apa bingung dalam daun kali pertama wajah muka hari pakai cukup toner jerawat,Penggunaan Produk,0
59,2,0.5803,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",sensitif lembap cari siapa asiatica rekomendasi seluruh aplikasi tinggal alami suka segar baik hidrasi guna alkohol tenang lebih asa aroma tekstur buat ringan asiaticanya centella kandung merah jadi kering sangat kulit bantu toner kurang jerawat reda produk,Pembelian Produk,0
60,1,0.951,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",banding reviewnya sayang padahal malah kata affordable sih bagus harga kalau skin bruntusan works bikin kulit banget toner,Kualitas Produk,0
